Title,Employer,Posting URL,Application Deadline,Published Date,Start Date,Hours per Week,Salary,Education Required,Experience Required,Location,Tags,Description,Contact Name,Contact Email
Environmental Manager,Wilson Construction Company (Private),https://jobs.rwfm.tamu.edu/view-job/?id=103581,03/14/2025,02/04/2025,after 3/3/2025,at least 40,"$110,000 to $160,000 per year",Bachelors,at least 7 years,"Corona, California",Graduate Opportunities,"Wilson Construction Company specializes in the design and construction of vital electric utility infrastructure needed by power providers across the United States and beyond. We provide infinite solutions and exceptional results for our satisfied clients through a collaborative team environment. Wilson has worked on projects across the United States and in Canada, American Samoa, and Indonesia.
 We have an immediate opening for an Environmental Manager based in Corona, California. Our Environmental Department specializes in environmental permitting and compliance management as it relates to the electrical utility construction industry.  Our team brings expertise to construction projects in the areas of permitting, onsite inspection and monitoring, erosion and sediment control implementation, mitigation planning, restoration and revegetation, and environmental training.
 The Environmental Manager is responsible for managing permitting and compliance efforts across our California operations.  These duties may include but are not limited to estimating environmental costs of construction projects, managing environmental resources to support construction projects, coordinating and planning with project teams to facilitate construction progress, ensuring implementation of project environmental requirements, training/mentoring new hires, and compliance of environmental regulations for our facilities. This position may also include time spent in the field at job sites. Desired applicants will have considerable experience with all aspects of environmental permitting, including CWA, RHA, ESA, Section 106, NEPA, CEQA, etc.  Candidate must be highly motivated, client-focused, and work well in a professional and team-oriented environment.  Candidates must also be willing to travel as needed.  Excellent written and verbal communication, client interaction and organizational skills, as well as proficiency with MS Office applications required.
 Essential Duties and Responsibilities:
•    Manage environmental staff and subcontractors.
•    Developing plans to meet environmental requirements on a given project.
•    Estimating and managing project environmental costs.
•    Conducting field monitoring and inspection for environmental compliance (hydrocarbon spills, erosion and sediment control, sensitive resource mitigation).
•    Writing and obtaining permits.
•    Availability to travel to projects as needed.
•    Availability to spend extended periods of time at project locations distant from the Corona office.
•    Coordination and communication with the Environmental Department in Canby, Oregon.
•    Interaction and effective communication with all levels of Project Management staff, field superintendents, clients, and vendors.
 Requirements:
•    Bachelor’s degree in a related discipline with proven environmental permitting experience; graduate degree preferred.
•    7+ years of experience with client account management experience.
•    Experience in the full spectrum of client service, starting with positioning activities, proposal development, and delivery of project designs.
•    Must have considerable knowledge and/or experience in environmental permitting, including CWA, RHA, ESA, Section 106, NEPA, CEQA, etc.  California experience preferred.
•    Exceptional technical skills and experience managing environmental permitting and compliance projects in the electrical utility industry.
•    Ability to communicate effectively with various levels of staff and personality types.
•    Proficiency in MS Office.
•    Strong attention to detail and organization.
•    Must be able to work outside and travel, as necessary.
•    Must have a valid state driver’s license.
 Competitive salary and excellent benefits package including employer paid medical, dental, vision, 401(k), personal time off and holiday pay.
 Wilson Construction Co. is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.
 Smoke & drug free environment. Successful candidates will be required to pass post-offer and random drug tests, including marijuana.",Not provided,Not provided
Environmental Scientist (Mid to Senior Level),Wilson Construction Company (Private),https://jobs.rwfm.tamu.edu/view-job/?id=103582,03/21/2025,02/04/2025,after 3/3/2025,at least 40,"$80,000 to $110,000 per year",Bachelors,at least 5 years,"Aurora, Oregon",Graduate Opportunities,"Wilson Construction Company specializes in the design and construction of vital electric utility infrastructure needed by power providers across the United States and beyond. We provide infinite solutions and exceptional results for our satisfied clients through a collaborative team environment. Wilson has worked on projects across the United States and in Canada, American Samoa, and Indonesia.
 We have an immediate opening for an Environmental Scientist to support our Canby, Oregon office. Our Environmental Department specializes in environmental permitting and compliance management as it relates to the electrical utility construction industry. Our team brings expertise to construction projects in the areas of permitting, onsite inspection and monitoring, erosion and sediment control implementation, mitigation planning, restoration and revegetation, and environmental training.
 The Environmental Scientist duties may include but are not limited to estimating environmental costs of projects, managing the protection of environmental resources during construction, coordinating and planning with project teams to facilitate construction progress, and ensuring implementation of project environmental requirements. This position requires work in office and field settings as well as travel. Candidates must be client-focused and work well in a professional and team-oriented environment. Excellent written and verbal communication, client interaction and organizational skills, as well as proficiency with MS Office applications required.
 Essential Environmental Scientist Duties and Responsibilities:
•    Developing plans to meet environmental requirements on a given project.
•    Project cost estimating and managing project environmental budgets.
•    Conducting field monitoring and inspections for environmental compliance (hydrocarbon spills, erosion and sediment control, sensitive resource mitigation).
•    Writing and obtaining permits.
•    Availability to travel to projects as needed.
•    Availability to spend extended periods of time at project locations distant from the Canby office.
•    Coordination and communication with the Environmental Services Department staff in other office locations. 
•    Interaction and effective communication with all levels of Project Management staff, field superintendents, clients, and vendors.
 Requirements:
•    Bachelor’s degree in a related discipline with proven environmental permitting experience; graduate degree preferred.
•    4+ years of combined environmental compliance / permitting experience.
•    Must have knowledge and/or experience in environmental permitting/compliance with CWA, ESA, historic preservation, NEPA, etc.
•    Desire to learn and to keep permitting and professional knowledge current.
•    Exceptional technical skills and experience managing environmental permitting and compliance projects. Experience in the electrical utility industry is a plus.
•    Ability to communicate effectively verbally and in writing with various levels of staff and personality types.
•    Proficiency in MS Office.
•    Strong attention to detail and organization.
•    Must be able to work outside and travel, as necessary.
•    Must have a valid state driver’s license.

Competitive salary and excellent benefits package including employer paid medical, dental, vision, 401(k), personal time off and holiday pay.
 Wilson Construction Co. is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.
 Smoke & drug free environment. Successful candidates will be required to pass post-offer and random drug tests, including marijuana.",Not provided,Not provided
"Environmental Scientist - Rancho Cordova, CA",Wilson Construction Company (Private),https://jobs.rwfm.tamu.edu/view-job/?id=98743,03/21/2025,11/11/2024,after 3/3/2025,at least 40,"$90,000 to $120,000 per year",Bachelors,at least 4 years,"Rancho Cordova, California",Graduate Opportunities,"Wilson Construction Company specializes in the design and construction of vital electric utility infrastructure needed by power providers across the United States and beyond. We provide infinite solutions and exceptional results for our satisfied clients through a collaborative team environment. Wilson has worked on projects across the United States and in Canada, American Samoa, and Indonesia.
 We have an immediate opening for an Environmental Scientist to support our Rancho Cordova and El Dorado Hills, California offices. Our Environmental Department specializes in environmental permitting and compliance management as it relates to the electrical utility construction industry. Our team brings expertise to construction projects in the areas of permitting, onsite inspection and monitoring, erosion and sediment control implementation, mitigation planning, restoration and revegetation, and environmental training.
 The Environmental Scientist oversees permitting and compliance efforts across our northern California operations. Their duties may include but are not limited to estimating environmental costs of projects, managing the protection of environmental resources during construction, coordinating and planning with project teams to facilitate construction progress, ensuring implementation of project environmental requirements, and compliance with environmental regulations for our northern California facilities. This position requires work in office and field settings as well as travel. Candidate must be client-focused and work well in a professional and team-oriented environment. Excellent written and verbal communication, client interaction and organizational skills, as well as proficiency with MS Office applications required.
 Essential Environmental Scientist Duties and Responsibilities:
• Developing plans to meet environmental requirements on a given project.
• Project cost estimating and managing project environmental budgets.
• Conducting field monitoring and inspections for environmental compliance (hydrocarbon spills, erosion and sediment control, sensitive resource mitigation).
• Writing and obtaining permits.
• Availability to travel to projects as needed.
• Availability to spend extended periods of time at project locations distant from the Rancho Cordova office.
• Coordination and communication with the Environmental Services Department staff in Canby, Oregon and other office locations. 
• Interaction and effective communication with all levels of Project Management staff, field superintendents, clients, and vendors.
 Requirements:
• Bachelor’s degree in a related discipline with proven environmental permitting experience; graduate degree preferred.
• 4+ years of combined environmental compliance / permitting experience.
• Must have knowledge and/or experience in environmental permitting/compliance with CWA, ESA, historic preservation, NEPA, CEQA, etc. California experience preferred.
• Desire to learn and to keep permitting and professional knowledge current.
• Exceptional technical skills and experience managing environmental permitting and compliance projects. Experience in the electrical utility industry is a plus.
• Ability to communicate effectively verbally and in writing with various levels of staff and personality types.
• Proficiency in MS Office.
• Strong attention to detail and organization.
• Must be able to work outside and travel, as necessary.
 Must have a valid state driver’s license.
 Competitive salary and excellent benefits package including employer paid medical, dental, vision, 401(k), personal time off and holiday pay.
 Wilson Construction Co. is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.
 Smoke & drug free environment. Successful candidates will be required to pass post-offer and random drug tests, including marijuana.",Not provided,Not provided
Wildlife and Forestry Field Techniques Course,Weyerhaeuser Company (Private),https://jobs.rwfm.tamu.edu/view-job/?id=103520,06/06/2025,02/03/2025,after 6/6/2025,at least 40,none,Some Undergraduate,at least 1 year,"The Jones Center at Ichauway (Newton, Georgia)","Graduate Opportunities
Undergraduate Opportunities","The Southeastern Section of The Wildlife Society, in collaboration with Vermont State University, will be hosting a 2-week field course on Wildlife and Forestry Field Techniques. 
 The course will be taught June 6–20, 2025 and hosted by The Jones Center at Ichauway (http://www.jonesctr.org/) in Newton, Georgia. The Jones Center is a 29,000-acre working forest managed for longleaf pine, northern bobwhite, and numerous plant and animal species native to the southern United States. The purpose of this course is to offer field experience that covers numerous topics, including hands-on learning in capture, handling, and tracking wildlife (e.g., birds, small mammals, bats, meso-mammals, amphibians, reptiles), species identification, assessing wildlife-habitat relationships, and silviculture. Additionally, we plan to offer exposure to firearms, equipment operation, plant ID, and prescribed fire.  All are important skills for any wildlife biologist, manager, or natural resource specialist.
 The course is open to undergraduate and graduate students from any college or university, or recent (< 3 years) graduates who have already completed a degree and are looking to gain field skills. Students should be majoring in a natural resource program and have completed at least 8 credit hours of their core curriculum (e.g., natural resources, biology, wildlife, ecology, forestry). This course will be filled on a first-come first-served basis up to a maximum of 20 students.
 The cost is $1,500 and will include instruction, food, housing, material and equipment, on-site transportation, and 3 hours of college credit that may qualify as elective credits in a student’s program of study. 
 For more information on the field course, including how to apply, please contact Dr. Daniel Greene (President of the Southeastern Section of The Wildlife Society: dgreene.tws@gmail.com).",Not provided,dgreene.tws@gmail.com
Susan Wojcicki Fellowship - For Science and Tropical Nature,Osa Conservation (Private),https://jobs.rwfm.tamu.edu/view-job/?id=103339,02/28/2025,01/30/2025,after 4/1/2025,at least 40,"up to $2,500 per month",Masters,none,"Puerto Jimenez, Costa Rica","Faculty / Post-Doc Appointments
Graduate Opportunities
Grant","Catalysing tropical fieldresearch and conservation, advancing your career 

Osa Conservation is launching our inaugural cohort of the ‘Susan Wojcicki Research Fellowship’ for 2025, worth up to $15,000 per awardee (award value dependent on project length and number of awards given each year). The fellowship is specifically targeted towards supporting graduate and early career researchers to conduct research projects in and around Osa Conservation’s properties on the Osa Peninsula, Costa Rica.

This fellowship will provide participants with:

Shared Room and board at Conservation Campus (equivalent to $60 per day - note private rooms available for an additional $10 per night)
Travel support (up to $1400 - including travel from San Jose to Puerto Jimenez)
Equipment and resources deemed essential to the execution of the project (up to a maximum total value of $15,000 including board, food and travel)

Eligibility
Open to early career researchers (graduate and post-poc, or equivalent level of field and research experience) 
Research proposals which align with our general themes of interest (listed at the end) will be prioritised
Applicants from Latin america, diverse backgrounds and/or underrepresented groups are highly encouraged to apply
Application process
Rolling deadline (until filled) - first review on the 15th February 2025
Fill out the online application form - Enlace en español / English link - which includes submission of a project outline document (600 words excluding references), a two page CV and a budget spreadsheet
You will receive an automatic receipt confirmation 
If shortlisted, an interview with a member of Osa Conservation Science Committee will be scheduled 
Please consider our internal process can take up to a month from form submission
All candidates will receive a decision response, even when not shortlisted 

See the Osa Conservation website for full details.",Not provided,HR@osaconservation.org
South Carolina Herpetofauna Field Research Technician,Clemson University - Buchholtz Lab (State),https://jobs.rwfm.tamu.edu/view-job/?id=102625,03/17/2025,01/17/2025,between 3/17/2025 and 3/21/2025,at least 40,starting at $15 per hour,Bachelors,at least 1 year,"Yemassee, South Carolina","Graduate Opportunities
Undergraduate Opportunities","The Buchholtz Lab in the Department of Forestry and Environmental Conservation at Clemson University, affiliated with the SC Cooperative Fish and Wildlife Research unit, is seeking a full-time, seasonal technician (1 position). As a part of an M.S. thesis project seeking to understand the effects of anthropogenic land-use legacies on community assemblages, the technician will be hired to assist in the collection of herpetofauna richness and abundance data, as well as environmental (water quality, hydrology, and vegetation) data, in coastal South Carolina wetlands. Field work will include visual encounter surveys (VES), checking cover boards and PVC pipes, aquatic trapping, and acoustic recording unit (ARU) monitoring for reptiles and amphibians in the ACE Basin (centered around Yemassee, SC).

The technician will be supervised by Dr. Erin Buchholtz at the SC Cooperative Fish and Wildlife Research Unit and Clemson University M.S. Student Tyler Tobias. The technician will be an employee of Clemson University and an affiliate of the SC Cooperative Fish and Wildlife Research Unit.

Data collection is tentatively scheduled to take place from March 17th to May 9th (approximately 8 weeks) at field sites located 4-5 hours from Clemson University’s main campus. However, start and end dates are somewhat flexible and subject to slight adjustments/changes due to contingency on Clemson's academic calendar, the nature of field work, and weather conditions. The expected work schedule will be 5 days on and at least 2 days off per week, but this may also vary. Successful applicants will be expected to be available for a flexible schedule, including weekend and some night work.

Field work will occur in inland and tidal open, isolated wetland environments, some of which will require the use of canoes or kayaks to access. The successful applicant will be expected to work well independently and in a team, to collect data efficiently and accurately, and to manage equipment responsibly and effectively.

We seek applicants with previous experience sampling in isolated wetland environments. Experience surveying for herpetofauna is a plus.

Additionally, applicants must be willing and able to conduct physically demanding work on long days in hot and humid weather conditions. Mosquitos, ticks, and biting/stinging insects, as well as alligators and venomous snakes, will be present. Applicants must be comfortable working in these environs and around open water environments.
 Compensation: $15 per hour

On-site housing will be provided.

Qualifications:
Ability/Willingness to identify, capture, and handle herpetofauna
Ability to capture environmental data
Ability to record data
Ability to maintain positive/enthusiastic attitude in the field
Excellent written and oral communication skills
Degree in Biology, Natural Resources, Wildlife Biology, Ecology, Environmental Science, or related field preferred.
Wilderness CPR/AED Certification, Non-motorized Water Vehicle Training, and or Defensive Driving Training preferred but not required.
Experience working with/handling crocodilians and venomous reptiles preferred but not required.

Application Instructions: Those interested in applying for this position should fill out the Google Form, which can be accessed using the following link:

https://forms.gle/ab2uTcrmErbzWzCQ8

Hiring will take place through Clemson University’s Human Resources Department. Any and all necessary training will be provided.

Application review will begin January 22, 2025 and continue on a rolling basis until the position is filled.

We strongly encourage applications from people whose identities and or backgrounds are marginalized or otherwise underrepresented in wildlife research.

If you have any questions or concerns, please email Tyler Tobias at ttobias@g.clemson.edu.",Not provided,ttobias@g.clemson.edu
Applied Watershed Modeler,University of Missouri (State),https://jobs.rwfm.tamu.edu/view-job/?id=99968,02/15/2025,11/12/2024,between 2/1/2025 and 4/1/2025,at least 40,"$50,000 to $60,000 per year",Masters,at least 1 year,"University of Missouri, School Of Natural Resources (Columbia, Missouri)","Faculty / Post-Doc Appointments
Graduate Opportunities","We seek a postdoctoral researcher or skilled M.S. graduate to be part of an interdisciplinary team that will use an integrated approach to understand how landscape-scale processes and land management activities are affecting instream habitat and associated aquatic communities. The successful candidate will lead the development of a modeling framework that links the effects of land management activities (e.g., Best Management Practices) on river ecohydrology (river discharge and timing) to anticipate responses of associated aquatic biota. This research is focused on the watersheds of Fort Leonard Wood (FLW), with a goal of providing stakeholders with an understanding of the co-benefits of implementing different conservation practices that are primarily designed to reduce sediment loads into streams and rivers. 
 This position will conduct applied research while working with the Whittier Lab at the University of Missouri (MU) and Dr. Natalja Cerkasova of Texas A&M, as well as collaborating with staff from US Army Corp of Engineers and FLW. There will be opportunities to develop peer-reviewed manuscripts, attend professional society conferences, and to collaborate with other researchers in the MU School of Natural Resources. 
 Benefits: This position is eligible for University benefits. The University offers a comprehensive benefits package, including medical, dental and vision plans, retirement, paid time off, and educational fee discounts. For additional information on University benefits, please visit the Faculty & Staff Benefits website at http://www.umsystem.edu/totalrewards/benefits 
 Community Information: Columbia, MO, is known as an ideal college town, combining small-town comforts, community spirit and low cost of living with big-city culture, activities, and resources. Home to nationally renowned public schools and other colleges and educational centers, Columbia is packed with restaurants and entertainment venues and hosts more than a dozen annual cultural festivals. 
 Qualifications: 
·       PhD in a natural resources or related field; potentially a highly skilled Masters in natural resources or related field 
·       Ability to work independently with multiple agency and academic team members 
·       Experienced with developing and using SWAT, SWAT+, and R, Python, or other scripting languages 
·       Experienced in data analysis methods and techniques, geospatial and ecohydrological computational methods and statistical analysis 
·       Proficiency in using MS Word, Excel, PowerPoint 
·       Demonstrated effective verbal and written communication skills 
·       High level of organization and self-motivation 
·       Ability to prepare concise written reports 

Duties: 
·        Collaborate closely with US Army Corps of Engineers - Engineer Research and Development Center, and Fort Leonard Wood personnel. 
·        Develop watershed models using SWAT+ to estimate discharge and sediment input for two watersheds that transect a military base. 
·        Project how implementation of additional or reconstructed management actions would alter water quantity and quality. 
·        Summarize spatial datasets representing species distributions, natural habitat components, and study area boundaries. 
·        Present findings at professional society meetings. 
·       Regularly develop written reports summarizing findings and provide to FLW. 
·       Draft manuscripts for submission to professional journals. 

Contact: Dr. Jodi Whittier  whittierj@missouri.edu 

Apply by sending a cover letter; a curriculum vitae; unofficial transcripts, and contact information (including telephone numbers and e-mail addresses) for three professional references to whittierj@missouri.edu.",Not provided,whittierj@missouri.edu
Two Fisheries Ph.D. Student Assistantships - University of Vermont,U.S. Geological Survey (Federal),https://jobs.rwfm.tamu.edu/view-job/?id=103337,04/01/2025,02/06/2025,between 5/15/2025 and 8/25/2025,20,"$32,000 per year",Bachelors,none,"81 Carrigan St. (Burlington, VT 05405, Vermont)",Graduate Opportunities,"Project: The Henderson Lab at the USGS Vermont Cooperative Fish and Wildlife Research unit in the Rubenstein School of Environment and Natural Resources at the University of Vermont is seeking highly motivated applicants for two Ph.D. positions focused on both genomics and acoustic telemetry. The first project will use acoustic telemetry and genomic analyses to determine whether there is evidence for multiple Lake Sturgeon populations within Lake Champlain and to estimate the effective size of those populations. The second project will use acoustic telemetry and genomics to better understand the population structure, spawning behavior, and habitat usage of Lake Whitefish in Lake Champlain to determine if there is evidence for ecotypes that disproportionally contribute to the spawning population. The primary duties for these two assistantships include fieldwork to implant acoustic transmitters and collect genetic samples, conducting genetic analyses in the lab, statistical analyses, and manuscript preparation. 

Qualifications: Applicants require a B.Sc. degree in biology, ecology, fisheries, marine science, or a related field. The positions have an anticipated start date of August 2025, but a summer start date is also possible. There is currently funding available for two PhDs and each position includes an annual stipend of $32,000, tuition, and health insurance.

Application: The Henderson Lab, and the Rubenstein School of Environment and Natural Resources, are deeply committed to inclusive excellence and creating a welcoming and supportive environment for everyone. Using a nuanced, holistic, and multi-faceted admissions process, we seek to build a campus community with myriad talents, experiences, goals, backgrounds, perspectives, and interests. Applicants are strongly encouraged to share their unique lived experience with us as part of the application process.

To apply, please submit a 1-page letter of interest, CV, and transcripts to Dr. Mark Henderson (mark.henderson@uvm.edu). Review of applications will begin on February 18th and continue until the position is filled.",Not provided,mark.henderson@uvm.edu
Environmental Data Scientists,International Institute for Applied Systems Analysis (Private),https://jobs.rwfm.tamu.edu/view-job/?id=103724,03/31/2025,02/06/2025,after 3/1/2025,at most 40,Commensurate / Negotiable,Masters,at least 3 years,"Laxenburg, Austria","Faculty / Post-Doc Appointments
Graduate Opportunities","The Biodiversity, Ecology, and Conservation (BEC) Research Group, part of the IIASA Biodiversity and Natural Resources (BNR) Program is looking for two highly motivated and enthusiastic researchers with a background in ecological modeling or environmental science in a conservation or ecological context.
 Main tasks and responsibilities
Developing workflows for integrated conservation planning using optimization frameworks. 
Large (spatial) data preparation for spatial planning and assessment of protected area effectiveness.
Applying and developing ecological modeling approaches for land use and climate impact assessments.
Leading the dissemination of project results via high-quality journal publications and conference presentations.
Contribute to the organization of project-related workshops and/or webinars.
Support all project partners and other group members in the drafting of reports, grant proposals and other scientific outputs as need arises.
 Requirements
An advanced scientific degree (MSc, PhD) or equivalent qualification in advanced spatial prioritization and/or ecological modeling and interest in developing a career in science.
Optimization methods e.g., use of integer programming or global search algorithms to solve multi-objective problems in R environment. Experience applying them to conservation problems would be highly desirable.
Familiarity with at least one scientific coding language (R, Python, Julia). Experience in parallel computing and version control (e.g., Git) advantageous. Advanced spatial analyses in R highly desirable.
Knowledge of cloud (e.g., Google Earth engine) and high-performance computing advantageous.
Good understanding of current applied ecology and conservation research. Knowledge of common ecological models such species distribution modeling and ecological impact assessments desirable.
Excellent organizational skills, pro-active and results-oriented, and the capacity to deliver on allocated tasks and respond in a timely manner to deadlines.
Ability to work independently and with an international team distributed across different institutions and time-zones.
A track record of publishing high-quality scientific research.
Excellent communication skills (both written and oral) in English.
IIASA offers an interdisciplinary and international workplace, and the possibility to interact with researchers of different nationalities, with strong ties to a world-wide network of research institutions engaged in environmental systems research. The successful candidate must be able to work in, and have respect for, an intercultural environment, and IIASA core values.",Not provided,harrison@iiasa.ac.at
Voyageurs National Park – Park Facilities and Maintenance Field Fellow,Voyageurs Conservancy (Private),https://jobs.rwfm.tamu.edu/view-job/?id=102954,02/21/2025,01/23/2025,between 5/19/2025 and 6/9/2025,35 - 40,"$1,200 per month",none,none,"Voyageurs National Park (International Falls, Minnesota)","Graduate Opportunities
Undergraduate Opportunities","Seeking two enthusiastic students or recent graduates to join the Voyageurs Conservancy and the National Park Service team at Voyageurs National Park in Northern Minnesota!

The primary duty of this Fellow will be to perform the work critical to the basic maintenance and repair of Voyageurs National Park grounds, walkways, exterior structures, campgrounds, buildings, docks, and related utilities.

This position’s work includes custodial work and laborer duties, including practices associated with occupations related to masonry, carpentry, gardening, plumbing, roofing, painting, and other trade work. This Fellowship will give you broad experience in the work of ensuring our public lands are accessible and safe for visitors, and give you experience in the many aspects of caring for our National Park. 

Voyageurs Conservancy recognizes the barriers and lack of representation that affects equal access to the outdoors. We believe our parks, and their partners, should strive to make a representative future of public land professionals.

Professional Development
The Fellow will regularly engage in relevant professional development opportunities, and will develop an end-of-term portfolio or communication project that could be shared with future employers.

Stipend and Reimbursement 
Voyageurs Conservancy believes stipend reimbursement is necessary to create an accessible Fellowship experience. Stipends are determined by the weeks/hours served. Full-time summer Fellows should anticipate a $1,200/month stipend.

Housing costs (in seasonal government housing) will be covered by Voyageurs National Park, and mileage for driving between seasonal government housing and Voyageurs National Park Headquarters during the internship will be reimbursed. 

Qualifications 
Required:
Must possess valid driver’s license

Preferred:
 Skills related to Maintenance duties.

Dates
The Fellowship will last for up to 16 weeks (May or early June – August or September); however, accommodations can be considered dependent on the Fellow’s class schedule. Fellows can expect to work 35-40 hours per week in the field.

Contact Information and Deadline
If you are interested in this opportunity, please send e-mail with a resume and cover letter to Chad Nevalainen at chad_nevalainen@nps.gov by Feb 21st, 2025. Feel free to send questions to the email provided as well.

About Voyageurs Field Fellowship
In response to the landscape of unpaid internships and entry-level positions requiring prior field experience, the Voyageurs Field Fellowship offers paid opportunities and professional development for undergraduate and graduate students. Fellows experience the extraordinary ecosystems and cultural treasures of Voyageurs National Park and represent the next generation of public lands professionals, while acquiring the field experience needed for career advancement. The Fellowship is designed as an opportunity for land stewards at the beginning of their careers to develop crucial experience without taking on financial burden.

This program is jointly managed by the National Park Service and the Voyageurs Conservancy - the official nonprofit partner of the park. 

We welcome applicants of all races, age, ethnicity, gender identity, sexual orientation, abilities, and socioeconomic backgrounds. Students who qualify for the Federal Pell Grant program are encouraged to apply.",Not provided,chad_nevalainen@nps.gov
Ph.D. Assistantship in Forest Pathology,"Warnell School of Forestry and Natural Resources, University of Georgia (State)",https://jobs.rwfm.tamu.edu/view-job/?id=102807,03/31/2025,01/17/2025,between 7/1/2025 and 8/1/2025,at least 40,"up to $26,000 per year",Masters,at least 2 years,"Warnell School of Forestry & Natural Resources (Athens, Georgia)",Graduate Opportunities,"The Warnell School of Forestry and Natural Resources at the University of Georgia, Athens, invites applications from highly motivated and enthusiastic students for a Ph.D. Assistantship starting in Summer/Fall 2025 under the supervision of Dr. Caterina Villari. The project will focus on needle diseases of southern pines. A competitive Ph.D. assistantship, benefits package, and a full tuition waiver will be provided for 4 years.

The student’s project will focus on integrated pest management of brown spot needle blight on loblolly pine commercial forests, with a focus on fungicide use and silvicultural management. The research project is with the Southern Pine Health Research Cooperative at the Warnell School (https://southernpinehealth.org). Extensive travel and fieldwork in the Southern US will be required. A M.S. degree in a related field, such as forestry or forest pathology, is a prerequisite for this position. The ideal candidate will possess experience with forest management, silviculture, and forest health (both pathology and entomology). GIS and spatial modeling skills, as well as experience with pesticide applications, are a bonus. This project is a close collaboration with Dr. Elizabeth McCarty, Dr. Stephen Kinane, and Dr. Kamal Gandhi at the University of Georgia.

Interested students should submit a statement of interest, current CV along with contact information for three references, and unofficial transcripts to Dr. Caterina Villari (cvillari@uga.edu). Obtaining the position is contingent upon acceptance into the graduate program of the Warnell School of Forestry and Natural Resources (https://warnell.uga.edu/graduate/future-students).

The Warnell School of Forestry and Natural Resources (http://www.warnell.uga.edu/) is the oldest forestry school in the South, has >70 faculty working in diverse fields, and provides exemplary training of students in the fields of forestry, ecology, and conservation biology. The School is housed in a four-building complex on campus, and has >23,000 acres in the state for research, teaching, and service activities. The University of Georgia (http://www.uga.edu/) is a “land-grant and sea-grant university, and is also the state's oldest, most comprehensive and most diversified institution of higher education”. Its motto is: ""to teach, to serve, and to inquire into the nature of things”. The University of Georgia is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, ethnicity, age, genetic information, disability, gender identity, sexual orientation, or protected veteran status.",Not provided,cvillari@uga.edu
Mountain Quail Research Field Technician,Washington State University (State),https://jobs.rwfm.tamu.edu/view-job/?id=102168,04/01/2025,01/07/2025,after 3/1/2025,40,$16.66 per hour,Bachelors,none,"Chief Joseph, Washington",Graduate Opportunities,"Washington State University’s Quantitative Wildlife Ecology and Conservation Lab has openings for two (2) field technicians in our mountain quail research program. The first position is from March 1st through June 30th 2025 (4 months), and the second position is from April 1st through May 31st 2025 (2 months). Field work will take place in southeast Washington and neighboring counties in Oregon. 

Mountain quail are ‘Critically Imperiled’ in Washington state, and this research is designed to inform conservation strategies in collaboration with the Washington Department of Fish and Wildlife. Technicians will have the unique opportunity to live-capture, GPS tag, and track mountain quail through several life history stages. Technicians will work directly with a graduate student to gain a variety of experiences, including handling and tracking mountain quail, relocating migrating quail, locating nests, setting up trail cameras to monitor nests, conducting raptor surveys, and performing vegetation surveys. Additionally, technicians will gain experience deploying acoustic recording devices and processing acoustic data to detect quail and other birds by their vocalizations, as well as trail cameras to detect quail and terrestrial predators. 

Field work will require daily rigorous off-trail hiking in rugged and beautiful terrain. Some activities will involve multi-day backpacking excursions to locate and monitor tagged quail. The work schedule will include some evenings, nightwork, and weekends. The area hosts numerous other species, including coyotes, bighorn sheep, raptors, rattlesnakes, black bears, and cougars. Pay for this position is $16.66, 40 hrs/week. Field housing (WDFW bunkhouses and camper trailers) and a work vehicle are available for work-related activities. There is no cellular service or Wi-Fi at the study site, but there is a phone (landline) at the bunkhouse for technicians to use. The nearest towns are Asotin and Clarkston, WA (about 45 mins away).

Qualifications — A Bachelor’s degree in wildlife or related field. Technicians must be able to hike off-trail 5-10 miles a day in rugged terrain, maintain a positive attitude, and communicate effectively with the graduate student, professor, and other researchers. A U.S. driver’s license is required, and previous experience trapping avian species is preferred, but not required. To apply, send a cover letter, CV, and contact information for 3 references in a single document to Georgia Isted (Georgia.Isted@wsu.edu). Please also indicate which of the two positions you are applying for. Applications will be reviewed immediately in the order received.",Not provided,georgia.isted@wsu.edu
